language,turn_id,pause_index,label,audio_file,pause_start,pause_end,pause_index,pause_start,ipi,log_pause_start,log_ipi,is_first_pause,is_late_pause,lang_id,energy_mean_local,energy_final,energy_decay_slope,energy_decay_drop,energy_slope_short,pre_pause_rms_db,rms_ratio_50_200,energy_vs_turn_med,f0_mean_turn,f0_median_turn,f0_final,f0_std_local,f0_slope_last_voiced,f0_slope_terminal,rel_final_pitch_med,rel_final_pitch_mean,fall_flag,rise_flag,fall_score,rise_score,final_voiced_dur,mean_voiced_run_dur,final_lengthening,final_lengthening_med,speaking_rate,voiced_frac_turn,voiced_frac_local,n_voiced_runs,trailing_unvoiced_s,spec_centroid,spec_bandwidth,spec_flatness,spec_low_high,zcr
english,en__000,0.0,hold,audio/en__000.wav,6.300000190734863,6.6,0.0,6.300000190734863,6.300000190734863,1.9878743886947632,1.9878743886947632,1.0,0.0,0.0,-88.24860382080078,-84.35385131835938,-1.4313478469848633,24.21868324279785,-4.388099193572998,-92.56511688232422,-51.350555419921875,35.646141052246094,256.14825439453125,271.26434326171875,315.0424499511719,99.5108871459961,-6.076816973883334e-14,8.775422096252441,1.161385416984558,1.2299222946166992,0.0,0.0,-8.069270133972168,8.069270133972168,0.03999999910593033,0.2199999988079071,0.1818181872367859,0.1818181872367859,0.3174603283405304,0.04146730527281761,0.1733333319425583,2.0,0.029999999329447746,2345.9306640625,2292.964111328125,0.4511173963546753,0.03252182900905609,0.26223957538604736
english,en__000,1.0,hold,audio/en__000.wav,8.600000381469727,9.5,1.0,8.600000381469727,2.0,2.261763095855713,1.0986123085021973,0.0,0.0,0.0,-28.028112411499023,-65.37147521972656,-1.00855553150177,16.331268310546875,-4.6545209884643555,-66.2002182006836,-45.07938766479492,54.628517150878906,212.23989868164062,195.1219482421875,265.3936767578125,47.683956146240234,0.0,7.334018230438232,1.3601425886154175,1.2504420280456543,0.0,0.0,-18.007131576538086,18.007131576538086,0.009999999776482582,0.2671428620815277,0.03743315488100052,0.25,0.930232584476471,0.21936988830566406,0.7866666913032532,8.0,0.0,1014.1710205078125,1706.4891357421875,0.12711700797080994,0.6417215466499329,0.29244792461395264
english,en__000,2.0,hold,audio/en__000.wav,10.899999618530273,11.7,2.0,10.899999618530273,1.399999976158142,2.4765384197235107,0.8754687309265137,0.0,1.0,0.0,-38.881370544433594,-79.4261474609375,-1.54487943649292,28.65235710144043,-5.133847713470459,-79.21200561523438,-54.42086410522461,40.57384490966797,211.34939575195312,192.77108764648438,284.98748779296875,47.86882781982422,0.0,11.49462890625,1.478372573852539,1.3484187126159668,0.0,0.0,-23.918628692626953,23.918628692626953,0.009999999776482582,0.1605263203382492,0.062295082956552505,0.3333333432674408,1.8348623514175415,0.28150874376296997,0.753333330154419,20.0,0.019999999552965164,1877.8734130859375,1690.0787353515625,0.3377434015274048,-0.0660647302865982,0.1236979141831398
english,en__000,3.0,eot,audio/en__000.wav,13.699999809265137,15.071,3.0,13.699999809265137,2.0,2.687847375869751,1.0986123085021973,0.0,1.0,0.0,-33.45599365234375,-46.90514373779297,-1.2383016347885132,30.362377166748047,1.0140658617019653,-52.47640609741211,-6.351709365844727,62.960914611816406,209.5787353515625,192.77108764648438,265.2126770019531,50.031219482421875,0.0,9.524774551391602,1.3757907152175903,1.2654560804367065,0.0,0.0,-18.78953742980957,18.78953742980957,0.009999999776482582,0.12787878513336182,0.07819905132055283,0.3333333432674408,2.4817519187927246,0.30943670868873596,0.6266666650772095,34.0,0.05999999865889549,3000.945068359375,2128.09375,0.6445037126541138,-0.32057082653045654,0.28072917461395264
english,en__001,0.0,hold,audio/en__001.wav,4.800000190734863,5.0,0.0,4.800000190734863,4.800000190734863,1.7578579187393188,1.7578579187393188,1.0,0.0,0.0,-36.69712829589844,-72.02278900146484,-1.1572191715240479,17.09977149963379,-3.93376088142395,-72.43679809570312,-45.15571975708008,-40.546241760253906,190.67823791503906,99.3788833618164,132.74844360351562,136.21554565429688,17.551559448242188,0.2185898721218109,1.335781216621399,0.6961908340454102,0.0,1.0,-34.34061813354492,34.34061813354492,0.029999999329447746,0.10384615510702133,0.2888889014720917,0.6666666865348816,5.625,0.5723270177841187,0.6866666674613953,27.0,0.0,3644.676513671875,2099.620361328125,0.5734215378761292,-0.4562094509601593,0.4515624940395355
english,en__001,1.0,eot,audio/en__001.wav,10.699999809265137,12.128,1.0,10.699999809265137,5.699999809265137,2.4595887660980225,1.9021074771881104,0.0,0.0,0.0,-30.19400405883789,-64.01014709472656,-0.7805606126785278,10.455432891845703,-3.581510305404663,-68.05623626708984,-39.04032516479492,-34.616180419921875,148.88421630859375,90.39547729492188,116.8811264038086,52.701839447021484,0.6787314414978027,0.8183260560035706,1.2929974794387817,0.7850471138954163,0.0,1.0,-15.328606605529785,15.328606605529785,0.5,0.10000000149011612,5.0,10.0,5.981308460235596,0.6373008489608765,0.753333330154419,64.0,0.019999999552965164,417.5594177246094,814.9139404296875,0.06574767827987671,0.8387014865875244,0.05260416492819786
english,en__002,0.0,hold,audio/en__002.wav,4.0,5.8,0.0,4.0,4.0,1.6094379425048828,1.6094379425048828,1.0,0.0,0.0,-50.68159484863281,-70.99085998535156,-1.4190213680267334,27.076461791992188,-3.0294556617736816,-71.6183090209961,-41.2734489440918,14.23309326171875,188.86302185058594,186.0465087890625,316.2864990234375,57.76773452758789,-4.319190979003906,-2.85205078125,1.7000399827957153,1.6746872663497925,0.0,0.0,-20.680809020996094,30.68280792236328,0.10999999940395355,0.1154545471072197,0.9527559280395508,1.047619104385376,5.75,0.6675062775611877,0.7066666483879089,23.0,0.0,1863.406494140625,2046.9368896484375,0.3622967302799225,0.24511371552944183,0.05624999850988388
english,en__002,1.0,hold,audio/en__002.wav,6.300000190734863,6.5,1.0,6.300000190734863,0.5,1.9878743886947632,0.40546509623527527,0.0,0.0,0.0,-91.07002258300781,-59.90929412841797,-1.0290822982788086,18.885761260986328,-2.4540982246398926,-61.14588928222656,-34.71528625488281,27.053001403808594,193.5736846923828,184.97727966308594,317.49017333984375,65.04208374023438,8.583291053771973,13.5357084274292,1.7163739204406738,1.6401515007019043,0.0,1.0,-33.583290100097656,44.40198516845703,0.10999999940395355,0.12359999865293503,0.8899676203727722,1.0,4.126984119415283,0.5103667974472046,0.2866666615009308,26.0,0.0,1129.821533203125,1927.692138671875,0.23687724769115448,0.6455091238021851,0.04062499850988388
english,en__002,2.0,hold,audio/en__002.wav,8.600000381469727,8.9,2.0,8.600000381469727,2.0999999046325684,2.261763095855713,1.1314021348953247,0.0,1.0,0.0,-37.87767028808594,-73.55086517333984,-0.8105415105819702,11.969051361083984,-2.1619033813476562,-71.26131439208984,-18.00319480895996,6.031768798828125,200.57427978515625,188.23529052734375,312.6979064941406,50.5175895690918,0.0,10.700102806091309,1.661207675933838,1.55901300907135,0.0,0.0,-25.0,33.06038284301758,0.009999999776482582,0.14628571271896362,0.068359375,0.10000000149011612,4.186046600341797,0.5985997915267944,0.7666666507720947,36.0,0.019999999552965164,3421.70166015625,2396.0966796875,0.7170308828353882,-0.3075822591781616,0.27395832538604736
english,en__002,3.0,hold,audio/en__002.wav,9.600000381469727,10.1,3.0,9.600000381469727,0.699999988079071,2.360853910446167,0.5306282639503479,0.0,1.0,0.0,-49.63919448852539,-67.75492858886719,-0.7261238694190979,6.404468536376953,-1.688462495803833,-69.9281234741211,-21.136363983154297,4.0095672607421875,198.76730346679688,188.23529052734375,230.4209442138672,58.06751251220703,0.0,2.7255425453186035,1.2241113185882568,1.1592497825622559,0.0,0.0,-11.205564498901367,11.205564498901367,0.009999999776482582,0.1302325576543808,0.07678571343421936,0.1111111119389534,4.583333492279053,0.5862069129943848,0.4933333396911621,44.0,0.07000000029802322,1826.4443359375,1547.73876953125,0.3546481430530548,0.11689350008964539,0.17760416865348816
